Title,Harga,Harga Asli,Diskon,Terjual,Rating,Lokasi
Water Slide Decal HG Gundam Calibarn by TRS Hologram & UV,Rp78.000,,,8 terjual,5.0,Kab. Cirebon
BANDAI 1/144 HGUC HG Narrative Gundam C Packs Pack [Clear Color],Rp280.000,,,3 terjual,5.0,Kab. Banyumas
Set Background Diorama untuk Gundam HG / RG / MG,Rp15.000,,,100+ terjual,4.9,Cimahi
Dynamic Stand SD HG Gundam,Rp29.900,,,19 terjual,4.9,Kab. Jember
HG IBO 1/144 Gundam Asmoday BANDAI,Rp300.000,,,5 terjual,,Medan
HG / HGCE 1/144 DESTROY GUNDAM,Rp2.000.000,,,5 terjual,5.0,Semarang
HG Nu Zeon / v-Zeon Gundam - HGBD:R BANDAI HGBDR Build Divers Re Rise,Rp360.000,,Cashback 5rb,1 terjual,5.0,Jakarta Barat
HG Gundam 00 Diver Arc,Rp495.000,,,4 terjual,5.0,Pontianak
BANDAI Plamo HG Gundam Heavyarms (Clear Color),Rp229.000,,,5 terjual,5.0,Jakarta Selatan
HG / HGCE 1/144 MIGHTY STRIKE FREEDOM GUNDAM,Rp530.000,,,100+ terjual,5.0,Semarang
HGWfM Gundam Calibarn The Witch from Mercury HG WfM,Rp105,,,30+ terjual,4.9,Kab. Bantul
HG 1/144 侍ノ弐 SENGOKU ASTRAY GUNDAM,Rp389.400,,,12 terjual,5.0,Denpasar
Stand base action figure gundam HG RG 1/144 ,Rp39.900,,,50+ terjual,5.0,Kab. Tangerang
Stand Base Action Figure Gundam MG 1/100 SD HG RG 1/144,Rp62.000,,,750+ terjual,4.9,Kab. Bekasi
BANDAI Gundam Calibarn HG  1/144 Original,Rp400.000,,,30+ terjual,5.0,Kab. Bandung
HG 1/144 Gundam Calibarn,Rp570.000,,,30+ terjual,5.0,Jakarta Barat
BANDAI 1/144 HG Gundam Astaroth Rinascimento (Iron Blooded Coating),Rp375.000,,,8 terjual,4.9,Kab. Banyumas
Stand Base Action Figure Gundam SD HG RG 1/144,Rp41.580,Rp42.000,,2rb+ terjual,4.9,Kab. Bekasi
HG 191 Revive RX-78-2 Gundam,Rp190.000,,,1rb+ terjual,5.0,Jakarta Barat
HG WfM Heindree Gundam Witch from Mercury HGWfM,Rp215.000,,,9 terjual,5.0,Kab. Bantul
 HGCE Immortal Justice Gundam HG CE Seed Freedom,Rp368.000,,,12 terjual,5.0,Kab. Bantul
Bandai HG 1/144 Gundam 00 Diver (Dive Into Dimension Clear) Limited,Rp189.000,Rp215.000,,2 terjual,5.0,Tegal
HGUC RX-78-2 GUNDAM REVIVE / HG 1/144 RX 78 2,Rp170.000,,,100+ terjual,4.9,Semarang
Stand Base Action Figure Gundam MG 1/100 NG SD HG RG 1/144,Rp62.000,,,50+ terjual,4.9,Kab. Bekasi
BANDAI Plamo HG Earthree Gundam [Dive Into Dimension Clear],Rp250.000,,,12 terjual,5.0,Jakarta Pusat
Bandai 1/144 RG HG system Base 001 hangar Gundam Ms Cage,Rp199.000,,,25 terjual,4.9,Bandung
BNIB/MISB BANDAI HG TWFM Gundam Calibarn 1/144,Rp395.000,,,5 terjual,5.0,Jakarta Pusat
HG Gundam Barbatos Lupus BANDAI,Rp450.000,,,1rb+ terjual,5.0,Kab. Bandung
HG Aerial Rebuild Gundam Part | Runner B | 01-29 | Bandai,Rp11.969,,,23 terjual,5.0,Depok
Beguir Pente Gundam HG The Witch From Mercury 12,Rp232.000,,,1 terjual,5.0,Kab. Bantul
HG / SD / Gundam related item Mystery Box,Rp149.999,,,11 terjual,4.6,Medan
MR COLOR WHITE C1 CAT GUNDAM MODEL KIT MG HG PG,Rp26.500,,,5 terjual,5.0,Surabaya
MR COLOR GERMAN GREY C40 CAT GUNDAM MODEL KIT MG HG PG,Rp26.500,,,2 terjual,5.0,Surabaya
MR COLOR PINK C63 CAT GUNDAM AIRBRUSH MODEL KIT MG HG PG,Rp26.500,,,1 terjual,5.0,Surabaya
MR COLOR NAVY BLUE C14 CAT GUNDAM MODEL KIT MG HG PG,Rp26.500,,,,,Surabaya
MR COLOR CLEAR RED C47 CAT GUNDAM MODEL KIT MG HG PG,Rp26.500,,,6 terjual,4.8,Surabaya
MR COLOR WHITE C1 CAT GUNDAM MODEL KIT MG HG PG,Rp26.500,,,5 terjual,5.0,Surabaya
MR CEMENT LEM GUNDAM MODEL KIT MG HG PG MC-124,Rp40.000,,,500+ terjual,4.9,Jakarta Utara
MR COLOR GERMAN GREY C40 CAT GUNDAM MODEL KIT MG HG PG,Rp26.500,,,2 terjual,5.0,Surabaya
SANDING PAPER MIO KERTAS AMPLAS 1200 AIRBRUSH MODEL KIT GUNDAM HG MG,Rp27.500,,,250+ terjual,5.0,Jakarta Utara
MR COLOR NAVY BLUE C14 CAT GUNDAM MODEL KIT MG HG PG,Rp26.500,,,,,Surabaya
Stand Base Action Figure Gundam BB SD SDW SDCS HG RG 1/144 Artikulasi V Ver.,Rp16.500,,,80+ terjual,5.0,Kab. Bekasi
HG Demi Barding Bandai Original Gundam 1/144 The Witch From Mercury,Rp275.000,,,10 terjual,5.0,Jakarta Selatan
HG Gundam Schwarzette 1/144 Bandai,Rp469.000,,,5 terjual,5.0,Bandung
HGAC GUNDAM HEAVYARMS 1/144 HG High Grade Ori BANDAI,Rp277.500,,,22 terjual,4.9,Surabaya
HG 1/144 Nu Gundam HWS,Rp389.999,,,1 terjual,5.0,Kab. Bantul
MR CEMENT DELUXE LEM GUNDAM MODEL KIT MG HG PG,Rp40.000,Rp45.000,,500+ terjual,5.0,Jakarta Utara
